params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
"{'estimator__n_neighbors': 1, 'estimator__weights': 'uniform'}",0.5836145855995877,0.015415955218237406,15,0.6028556319407721,0.5668684645019263,0.5684442001099506,0.5870755750273823,0.5663237682728749,0.6001091107474086,0.560530679933665,0.6015200868621065,0.5826513911620295,0.5916434540389972,0.5812807881773399,0.5584699453551912,0.60913140311804,0.5793780687397708,0.5751211631663974,0.5671140939597316,0.6012068019747668,0.5902547065337763,0.5934302638664513,0.5722011898323418,0.5684669939989089,0.576214405360134,0.5758582502768549,0.5753126699293094,0.5818777292576419,0.5899834892680242,0.6089743589743589,0.6095030038230476,0.5640157924421884,0.6026200873362445
"{'estimator__n_neighbors': 1, 'estimator__weights': 'distance'}",0.5836145855995877,0.015415955218237406,15,0.6028556319407721,0.5668684645019263,0.5684442001099506,0.5870755750273823,0.5663237682728749,0.6001091107474086,0.560530679933665,0.6015200868621065,0.5826513911620295,0.5916434540389972,0.5812807881773399,0.5584699453551912,0.60913140311804,0.5793780687397708,0.5751211631663974,0.5671140939597316,0.6012068019747668,0.5902547065337763,0.5934302638664513,0.5722011898323418,0.5684669939989089,0.576214405360134,0.5758582502768549,0.5753126699293094,0.5818777292576419,0.5899834892680242,0.6089743589743589,0.6095030038230476,0.5640157924421884,0.6026200873362445
"{'estimator__n_neighbors': 3, 'estimator__weights': 'uniform'}",0.6179118153736056,0.015029681612690096,13,0.634414513468939,0.6121281464530892,0.5899363794100636,0.6111423747889702,0.6108597285067874,0.6474576271186441,0.6054303870595031,0.6313993174061433,0.632420091324201,0.6158290005777007,0.6230812961910176,0.6131710016602103,0.6449026345933563,0.6138049058756417,0.6126840317100792,0.5885747259088286,0.6200923787528868,0.6252873563218391,0.6332958380202475,0.6112359550561798,0.5988571428571429,0.5977142857142858,0.6011494252873564,0.6128851540616247,0.6214039125431531,0.6206503137478608,0.6338185890257558,0.6309859154929578,0.6040579710144928,0.6386840612592173
"{'estimator__n_neighbors': 3, 'estimator__weights': 'distance'}",0.6128726456719904,0.015795862376785624,14,0.6386003280481137,0.6043083900226758,0.5921658986175116,0.6127946127946128,0.6031390134529148,0.64,0.5870818915801614,0.6233031674208145,0.6205331820760068,0.6188034188034188,0.6126126126126126,0.6012201885745979,0.6419612314709237,0.6101694915254238,0.606942889137738,0.5839584535487594,0.6222732491389208,0.6242840778923253,0.625560538116592,0.6084070796460177,0.5938914027149321,0.5951164111300398,0.5969125214408233,0.6084033613445378,0.6147727272727272,0.6161731207289294,0.631404958677686,0.6237402015677491,0.5922047702152414,0.6354401805869074
"{'estimator__n_neighbors': 5, 'estimator__weights': 'uniform'}",0.634273924018667,0.013475762875745104,8,0.6543830262423227,0.6328815556865056,0.6047591410330818,0.6256410256410256,0.6252178965717606,0.6540447504302926,0.6197183098591549,0.6540447504302926,0.6406976744186047,0.6374269005847953,0.625,0.6363125351320967,0.6678321678321678,0.639862148190695,0.6237054085155351,0.6234676007005254,0.6336633663366337,0.6410703897614892,0.633177570093458,0.623779437105112,0.6252873563218391,0.6209302325581395,0.6193548387096774,0.6335048599199543,0.6416861826697893,0.6371986222732492,0.6479035037334865,0.6435185185185185,0.6152948044366608,0.6468531468531469
"{'estimator__n_neighbors': 5, 'estimator__weights': 'distance'}",0.6258140859708764,0.014689949081698888,12,0.6488592097941013,0.6210098665118978,0.5983796296296297,0.6223736513344691,0.6204922724670864,0.6474250141482739,0.6037296037296037,0.6424929178470254,0.634737449509521,0.6243447874199185,0.6234957020057307,0.6219239373601789,0.6530849825378346,0.631336405529954,0.6136233543216943,0.607981220657277,0.6381007527504343,0.63316002310803,0.6335833814195038,0.6165158371040724,0.6154727793696275,0.6102088167053364,0.6158323632130385,0.6208072768618533,0.6272257323377369,0.6218390804597701,0.6427369601794728,0.6402753872633391,0.5974329054842473,0.6459412780656304
"{'estimator__n_neighbors': 7, 'estimator__weights': 'uniform'}",0.6363629177498187,0.013278982536065149,4,0.6598639455782312,0.6409952606635071,0.6093567251461989,0.623121387283237,0.6252927400468384,0.6515942028985507,0.6308962264150944,0.6547960941987364,0.6401404330017554,0.6423099587507366,0.6198491004062682,0.6326061997703789,0.6647331786542924,0.6332945285215367,0.6507566938300349,0.6303317535545023,0.6373239436619719,0.6277286135693215,0.6426076833527358,0.6241299303944315,0.6204465334900118,0.6330597889800703,0.6171091445427729,0.6405529953917051,0.6437869822485207,0.6357308584686775,0.6438911407064273,0.6512968299711815,0.6175604007071303,0.6457242582897034
"{'estimator__n_neighbors': 7, 'estimator__weights': 'distance'}",0.6301893474110536,0.013106185133520873,11,0.6520763187429854,0.6294117647058823,0.6038619075482738,0.6292263610315186,0.6195715112912565,0.6456059735784032,0.616833431430253,0.6484018264840182,0.6363636363636364,0.6344586728754366,0.6232718894009217,0.6272054638588503,0.6518950437317784,0.62478184991274,0.6350491613649508,0.6179441473559121,0.640279394644936,0.6297376093294461,0.6362058993637941,0.6176980913823019,0.6135040745052387,0.6223000583771162,0.6104276508494435,0.6310344827586207,0.632748538011696,0.6306620209059234,0.6407322654462243,0.651270207852194,0.6076246334310851,0.6454965357967667
"{'estimator__n_neighbors': 9, 'estimator__weights': 'uniform'}",0.636824143668075,0.014427232338512034,1,0.6708215297450425,0.6371787208607292,0.6131301289566237,0.6337782936738248,0.6283704572098476,0.6525573192239859,0.6308884913536076,0.6468184471687098,0.6398580721466588,0.6450853443201884,0.6204465334900118,0.6296938186019642,0.6619883040935672,0.6365767878077374,0.6514886164623468,0.6261180679785331,0.6331955109273479,0.6336515513126492,0.6425655976676384,0.6346483704974271,0.6158392434988179,0.6300236406619385,0.6093657379964433,0.6374133949191686,0.6540284360189573,0.6347165400350672,0.6474735605170387,0.6503781268179174,0.6101492537313433,0.6464764123471171
"{'estimator__n_neighbors': 9, 'estimator__weights': 'distance'}",0.6326667458762834,0.015810976098663,10,0.6674195369847544,0.6280307510348906,0.6024662360540223,0.6322432587492829,0.6212121212121212,0.6499708794408853,0.6142941523922032,0.6463484761357102,0.6397188049209139,0.6350877192982456,0.6214953271028038,0.6245014245014245,0.6588785046728972,0.6333527019174898,0.6441860465116279,0.6191616766467066,0.6388235294117647,0.6300884955752213,0.6395821242019734,0.62778730703259,0.6059894304169113,0.616833431430253,0.6187389510901591,0.6311522872032426,0.6435701702877276,0.6354044548651817,0.6562318840579711,0.6477074869413814,0.6042654028436019,0.6454598033545402
"{'estimator__n_neighbors': 11, 'estimator__weights': 'uniform'}",0.634999741759336,0.012972892870893156,6,0.6583143507972665,0.6407650926479378,0.6115702479338843,0.6360964138741917,0.6305882352941177,0.6553540081919251,0.6367980884109916,0.6444053895723492,0.643719806763285,0.6315165876777251,0.6162097735399285,0.6346604215456675,0.6505598114319388,0.6336283185840708,0.6454652532391049,0.6168559473998805,0.6287069988137604,0.636038186157518,0.6485849056603774,0.6201279813845259,0.6270783847980997,0.6308243727598566,0.6139202855443189,0.6424452133794695,0.6416219439475254,0.6354044548651817,0.6494117647058824,0.6382232612507306,0.6054827175208581,0.6456140350877193
"{'estimator__n_neighbors': 11, 'estimator__weights': 'distance'}",0.6327988579065408,0.013973012290506378,9,0.6569178852643419,0.6300236406619385,0.6061320754716981,0.63102847181871,0.6237565827969573,0.6495925494761351,0.6187648456057007,0.6493055555555556,0.6402877697841727,0.6349765258215962,0.6176644931831654,0.6285060103033773,0.6572934973637962,0.6333527019174898,0.6442641946697567,0.6119760479041916,0.64,0.6285032796660703,0.6451612903225806,0.625,0.6179245283018868,0.6168446026097272,0.6191037735849056,0.6293302540415704,0.64075382803298,0.6319485078993563,0.6554719166184134,0.6430644225188624,0.6116676487919859,0.6453488372093024
"{'estimator__n_neighbors': 13, 'estimator__weights': 'uniform'}",0.6367312144089482,0.013497077259495015,2,0.6594285714285715,0.6307506053268765,0.6148409893992933,0.6372202591283863,0.6317647058823529,0.654524089306698,0.6313253012048192,0.6483001172332943,0.6432038834951457,0.634088200238379,0.6197352587244284,0.6405610753945061,0.6512729425695678,0.6444053895723492,0.6491017964071857,0.6201550387596899,0.6269368295589988,0.6359832635983264,0.6544378698224852,0.6210526315789474,0.6183343319352906,0.63189448441247,0.6151100535395598,0.6483644859813084,0.6439257929383603,0.6404230317273796,0.6532305868405454,0.6443661971830986,0.6094781043791242,0.6477205447010065
"{'estimator__n_neighbors': 13, 'estimator__weights': 'distance'}",0.6346716476779882,0.014522951191344127,7,0.6644067796610169,0.6284348864994026,0.6053097345132743,0.6359393232205367,0.6288056206088993,0.6490919742237844,0.6174016686531585,0.6452742123687282,0.6455089820359281,0.6352386564525634,0.6144650328750747,0.6390328151986183,0.655011655011655,0.639067055393586,0.6506729081334114,0.6238095238095238,0.640661938534279,0.631079478054567,0.6474396703943496,0.6210892236384704,0.6152941176470588,0.6223277909738717,0.6163895486935868,0.6363636363636364,0.6362559241706162,0.6443661971830986,0.6546301688992429,0.6431054461181923,0.6097271648873073,0.6439482961222092
"{'estimator__n_neighbors': 15, 'estimator__weights': 'uniform'}",0.636534498253344,0.014918145820258043,3,0.6682027649769585,0.6237082066869301,0.6172106824925816,0.6302816901408451,0.6287744227353463,0.6584216725559482,0.6283987915407855,0.6466076696165192,0.6441087613293052,0.6358244365361803,0.6305770374776919,0.6360964138741917,0.6611570247933884,0.6318261890780975,0.6492581602373887,0.6158463385354142,0.6298276886512181,0.6316425120772947,0.6477205447010065,0.6235431235431236,0.6129032258064516,0.6279491833030852,0.6157517899761337,0.6451990632318502,0.639807576668671,0.6381231671554253,0.6674542232722976,0.6431924882629108,0.6168559473998805,0.6497641509433962
"{'estimator__n_neighbors': 15, 'estimator__weights': 'distance'}",0.6355316633106752,0.014496029730939669,5,0.6700796359499431,0.623875224955009,0.6050917702782712,0.6304728546409807,0.6305361305361306,0.6530373831775701,0.6235786953919809,0.6440677966101694,0.6448931116389549,0.6362573099415205,0.6245530393325387,0.6371477860839563,0.6526315789473685,0.635885447106955,0.652989449003517,0.6231276213301378,0.6374926079243052,0.6365795724465558,0.6505598114319388,0.6216060080878105,0.6139315230224321,0.6230677764565993,0.6190476190476191,0.6363636363636364,0.6355029585798817,0.6364705882352941,0.6569086651053864,0.6495626822157434,0.6147492625368731,0.6458823529411765
